Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Latitude,Longitude,State,Day,Month,Year,RainfallTomorrow
BadgerysCreek,4.7,27.6,0.0,NW,37.0,N,WNW,6.0,24.0,54.0,16.0,1018.2,1011.9,16.0,26.8,No,No,-37.7,145.5167,Victoria,30,9,2009,0.0
Williamtown,5.4,27.5,0.0,WNW,33.0,NW,NNW,17.0,15.0,58.0,12.0,1018.4,1013.1,17.5,27.0,No,No,-32.80899676,151.8389966,New South Wales,30,9,2009,0.0
Sydney,20.6,22.2,18.0,N,35.0,NNE,N,2.0,7.0,89.0,77.0,1022.3,1020.0,21.2,20.3,Yes,Yes,-33.865,151.2094,New South Wales,27,3,2014,7.4
Moree,14.8,30.8,0.0,ESE,41.0,SE,ESE,20.0,13.0,50.0,26.0,1028.5,1025.5,21.2,30.1,No,No,-29.465,149.8344,New South Wales,12,3,2010,0.0
Penrith,16.5,30.8,0.0,SE,33.0,W,SSE,2.0,7.0,79.0,36.0,1017.4,1015.0,20.4,29.3,No,No,-33.7511,150.6942,New South Wales,23,3,2010,0.0
Albury,11.3,24.7,0.0,WSW,35.0,ENE,S,6.0,11.0,77.0,47.0,1023.7,1022.7,17.9,23.6,No,No,-36.0806,146.9158,New South Wales,21,10,2011,0.0
Witchcliffe,17.0,27.6,0.0,SSE,39.0,SE,SSE,22.0,20.0,71.0,53.0,1016.6,1013.7,20.2,26.7,No,No,-34.026,115.1,Western Australia,12,2,2015,0.0
MountGinini,-1.0,0.8,1.6,WSW,54.0,ESE,WSW,4.0,19.0,98.0,97.0,1017.4,1015.0,-0.5,0.0,Yes,Yes,-35.5333,148.7833,New South Wales,3,5,2014,2.2
Darwin,23.8,30.5,18.0,SSW,44.0,W,N,9.0,19.0,79.0,72.0,1006.5,1003.9,27.0,29.6,Yes,No,-12.4381,130.8411,Northern Territory,30,12,2010,0.0
Walpole,9.6,20.7,0.0,SW,30.0,W,WSW,7.0,11.0,78.0,77.0,1019.1,1018.7,17.7,18.4,No,Yes,-34.97,116.728,Western Australia,8,11,2015,10.6
Moree,21.9,31.6,0.0,SSE,46.0,N,NW,15.0,7.0,68.0,46.0,1016.4,1012.9,23.9,30.0,No,No,-29.465,149.8344,New South Wales,25,2,2009,0.0
WaggaWagga,17.6,29.5,0.0,ENE,56.0,ENE,NE,33.0,19.0,50.0,31.0,1020.0,1016.8,21.1,28.1,No,No,-35.1189,147.3689,New South Wales,5,3,2013,0.0
Portland,10.2,24.5,0.2,NNW,46.0,N,NNW,22.0,22.0,78.0,53.0,1016.7,1013.3,14.6,23.4,No,No,-38.3333,141.6,Victoria,27,9,2014,0.0
Woomera,17.1,32.2,0.0,SSE,46.0,SSE,S,28.0,19.0,57.0,25.0,1017.6,1015.3,19.3,31.0,No,No,-31.2,136.81,South Australia,6,3,2014,0.0
PerthAirport,11.5,22.8,0.0,WSW,35.0,NNW,WSW,6.0,19.0,71.0,38.0,1018.2,1018.0,17.5,21.6,No,No,-31.9522,115.8589,Western Australia,29,9,2015,0.0
PearceRAAF,13.2,24.3,0.4,SW,41.0,SW,SW,24.0,20.0,65.0,54.0,1012.4,1011.6,21.1,22.4,No,No,-31.6722,116.0318,Western Australia,21,11,2014,0.0
Walpole,16.3,24.0,1.4,SE,35.0,SSE,SSE,11.0,19.0,79.0,66.0,1021.5,1020.8,19.4,21.9,Yes,No,-34.97,116.728,Western Australia,6,2,2015,0.0
MelbourneAirport,7.4,20.7,0.0,N,59.0,N,NNW,22.0,28.0,64.0,39.0,1025.9,1022.1,14.4,19.9,No,No,-37.8136,144.9631,Victoria,14,5,2014,0.0
Nhil,3.0,9.9,0.0,NNW,26.0,NNE,N,7.0,13.0,86.0,69.0,1019.3,1016.6,5.3,9.7,No,No,-36.3333,141.65,Victoria,26,6,2016,0.0
Hobart,11.7,17.2,0.0,WNW,41.0,NNW,NW,19.0,22.0,48.0,42.0,1015.1,1014.8,14.3,16.7,No,Yes,-42.8806,147.325,Tasmania,10,5,2012,1.8
Cairns,17.5,27.2,0.0,SE,44.0,SSE,ESE,22.0,30.0,64.0,52.0,1019.1,1015.8,23.3,25.0,No,No,-16.9303,145.7703,Queensland,24,8,2014,0.0
Cairns,20.0,28.0,0.0,NNE,24.0,SW,NE,6.0,13.0,76.0,77.0,1015.6,1011.7,26.2,27.3,No,No,-16.9303,145.7703,Queensland,27,5,2016,0.0
WaggaWagga,0.1,16.5,0.0,ENE,22.0,ENE,NNE,7.0,7.0,85.0,43.0,1025.3,1022.2,3.6,15.9,No,No,-35.1189,147.3689,New South Wales,11,6,2012,0.0
Sale,12.7,29.6,0.2,E,46.0,ENE,ESE,7.0,31.0,97.0,41.0,1019.2,1015.9,16.6,28.1,No,No,-38.1,147.0667,Victoria,16,1,2012,0.0
Witchcliffe,12.1,17.5,5.0,WSW,50.0,W,SSW,24.0,22.0,64.0,58.0,1011.4,1014.6,15.4,14.7,Yes,Yes,-34.026,115.1,Western Australia,29,10,2016,4.8
MelbourneAirport,12.3,16.1,0.2,NNE,39.0,NNW,NW,9.0,13.0,64.0,56.0,1023.4,1020.1,13.3,15.7,No,No,-37.8136,144.9631,Victoria,30,4,2017,0.0
Bendigo,11.0,25.4,0.0,SW,41.0,SW,SW,20.0,17.0,60.0,30.0,1016.7,1014.8,14.3,23.5,No,No,-36.75,144.2667,Victoria,23,11,2015,0.0
Williamtown,22.4,29.3,0.0,S,35.0,SSE,SE,19.0,13.0,81.0,86.0,1017.7,1017.7,25.5,24.7,No,No,-32.80899676,151.8389966,New South Wales,2,1,2015,0.0
Woomera,17.8,29.4,0.0,SSW,44.0,S,S,28.0,20.0,64.0,34.0,1014.2,1012.7,19.2,27.0,No,No,-31.2,136.81,South Australia,13,3,2017,0.0
NorahHead,13.3,19.5,0.0,NW,37.0,NW,WNW,11.0,13.0,65.0,46.0,1005.5,1005.7,15.8,18.5,No,No,-33.281,151.5791,New South Wales,22,6,2016,0.0
Perth,18.9,31.6,0.0,ESE,50.0,SE,SE,17.0,19.0,58.0,30.0,1022.2,1017.5,22.1,30.6,No,No,-31.9522,115.8589,Western Australia,20,3,2014,1.0
AliceSprings,14.3,30.5,0.0,ESE,39.0,ESE,SE,24.0,19.0,24.0,13.0,1017.7,1014.5,23.8,29.0,No,No,-23.7,133.8667,Northern Territory,2,11,2014,0.0
NorfolkIsland,19.9,21.4,43.8,NW,59.0,W,WSW,15.0,17.0,96.0,95.0,1006.5,1005.2,20.4,20.1,Yes,Yes,-29.0257,167.9416,Tasmania,14,12,2014,15.4
Tuggeranong,19.0,32.3,0.0,WNW,39.0,ENE,NNW,9.0,20.0,70.0,26.0,1010.2,1005.7,21.0,30.1,No,No,-35.4244,149.088,New South Wales,28,1,2010,0.0
Katherine,10.7,29.1,0.0,ESE,37.0,SE,ESE,13.0,24.0,36.0,19.0,1019.7,1015.1,18.9,29.0,No,No,-14.4667,132.2667,Northern Territory,26,6,2014,0.0
Perth,8.2,18.1,0.0,ESE,30.0,ESE,E,11.0,11.0,80.0,54.0,1033.5,1028.8,11.9,17.6,No,No,-31.9522,115.8589,Western Australia,2,6,2013,0.0
Cobar,8.6,23.5,0.0,W,35.0,SW,WSW,13.0,19.0,53.0,25.0,1015.0,1012.9,16.1,22.8,No,No,-31.4997,145.8319,New South Wales,14,9,2013,0.0
Woomera,20.5,37.5,0.0,SSE,43.0,S,SSW,28.0,24.0,52.0,13.0,1012.6,1010.4,22.8,35.3,No,No,-31.2,136.81,South Australia,11,2,2016,0.0
Bendigo,-2.2,12.4,0.0,N,20.0,SE,N,9.0,13.0,96.0,59.0,1023.7,1019.9,3.1,11.0,No,No,-36.75,144.2667,Victoria,1,8,2013,0.0
Launceston,7.2,22.8,0.0,NNW,31.0,NW,NNW,2.0,15.0,68.0,52.0,1030.0,1027.0,14.8,21.9,No,No,-41.4419,147.145,Tasmania,24,11,2011,0.0
Sydney,19.5,30.0,0.0,NNE,54.0,W,ENE,6.0,24.0,63.0,51.0,1012.1,1009.0,23.4,28.8,No,No,-33.865,151.2094,New South Wales,16,2,2017,0.0
Sale,6.0,16.1,1.6,W,37.0,W,SSW,20.0,15.0,72.0,34.0,1012.3,1009.4,11.2,15.6,Yes,No,-38.1,147.0667,Victoria,10,10,2012,0.4
Moree,9.4,24.1,0.0,W,41.0,N,W,13.0,33.0,57.0,26.0,1014.0,1010.6,15.5,23.0,No,No,-29.465,149.8344,New South Wales,1,7,2009,0.0
Albury,5.1,14.5,0.0,NNW,26.0,SE,NNE,6.0,11.0,83.0,52.0,1008.4,1002.3,8.5,14.1,No,Yes,-36.0806,146.9158,New South Wales,2,5,2014,3.8
MountGinini,3.9,6.9,6.0,N,63.0,NW,NNW,26.0,24.0,96.0,96.0,1017.4,1015.0,5.6,6.8,Yes,Yes,-35.5333,148.7833,New South Wales,18,7,2013,16.6
Portland,12.7,22.2,0.0,ESE,33.0,ENE,ESE,20.0,17.0,78.0,59.0,1021.0,1016.8,14.9,21.4,No,No,-38.3333,141.6,Victoria,4,4,2010,0.2
WaggaWagga,7.4,16.2,0.0,ENE,20.0,E,E,9.0,9.0,90.0,88.0,1019.4,1015.8,11.0,15.0,No,Yes,-35.1189,147.3689,New South Wales,21,7,2016,9.0
Cobar,16.7,33.2,0.0,SW,33.0,SE,NW,11.0,9.0,36.0,23.0,1014.8,1012.4,22.2,32.1,No,No,-31.4997,145.8319,New South Wales,15,3,2013,0.0
Ballarat,8.0,34.6,0.0,NNW,56.0,NNE,NNW,20.0,31.0,38.0,16.0,1011.4,1008.4,20.7,31.9,No,No,-37.55,143.85,Victoria,4,2,2017,0.0
Adelaide,20.5,36.7,0.0,SE,50.0,NNE,W,9.0,11.0,17.0,18.0,1016.5,1013.8,30.6,36.5,No,No,-34.9289,138.6011,South Australia,9,11,2015,0.2
CoffsHarbour,15.7,24.7,28.0,E,39.0,SW,ENE,13.0,26.0,62.0,80.0,1012.6,1008.0,21.1,22.2,Yes,Yes,-30.3022,153.1189,New South Wales,1,11,2016,38.8
PerthAirport,14.0,20.2,6.6,WNW,63.0,NW,W,19.0,35.0,78.0,65.0,1010.5,1009.4,16.7,18.1,Yes,Yes,-31.9522,115.8589,Western Australia,24,5,2014,2.0
AliceSprings,25.5,35.4,0.0,SE,50.0,ESE,SE,20.0,30.0,25.0,22.0,1016.1,1014.0,30.8,33.8,No,No,-23.7,133.8667,Northern Territory,20,3,2015,0.0
Cairns,19.2,23.6,7.8,SSE,39.0,S,SSE,19.0,24.0,84.0,79.0,1018.5,1016.2,20.9,22.2,Yes,Yes,-16.9303,145.7703,Queensland,5,6,2017,3.2
Perth,20.9,36.4,0.0,SW,31.0,ENE,SW,13.0,19.0,48.0,27.0,1020.3,1017.7,25.6,33.5,No,No,-31.9522,115.8589,Western Australia,25,3,2011,0.0
Wollongong,13.8,21.7,0.0,WNW,28.0,ESE,E,6.0,13.0,36.0,53.0,1020.1,1018.8,19.6,20.9,No,No,-34.4331,150.8831,New South Wales,7,12,2013,0.0
Witchcliffe,15.3,25.2,3.2,E,43.0,E,ENE,26.0,19.0,66.0,59.0,1018.1,1015.8,20.8,24.4,Yes,Yes,-34.026,115.1,Western Australia,12,2,2017,3.6
Witchcliffe,8.5,22.2,0.2,NW,33.0,NW,NW,19.0,19.0,67.0,56.0,1010.9,1009.9,18.9,20.0,No,No,-34.026,115.1,Western Australia,2,11,2012,1.0
Brisbane,10.2,23.0,0.0,SSW,17.0,SW,WSW,4.0,4.0,67.0,41.0,1020.9,1018.2,16.4,22.4,No,No,-27.4678,153.0281,Queensland,9,7,2016,0.0
WaggaWagga,16.4,37.0,0.0,W,48.0,E,W,11.0,22.0,44.0,21.0,1014.1,1011.3,23.5,36.3,No,No,-35.1189,147.3689,New South Wales,19,11,2015,0.0
Brisbane,7.4,20.9,0.0,W,39.0,WSW,W,4.0,13.0,36.0,32.0,1017.9,1015.9,17.2,20.6,No,No,-27.4678,153.0281,Queensland,7,7,2011,0.0
Bendigo,6.0,26.0,0.0,N,30.0,SE,N,9.0,11.0,59.0,26.0,1026.3,1021.6,13.7,23.4,No,No,-36.75,144.2667,Victoria,14,4,2012,0.0
MountGinini,13.1,24.4,0.0,NW,46.0,NW,WNW,20.0,15.0,70.0,65.0,1017.4,1015.0,16.9,22.1,No,Yes,-35.5333,148.7833,New South Wales,23,1,2017,9.2
Uluru,18.8,27.7,3.2,SSW,37.0,S,SSE,22.0,15.0,60.0,43.0,1015.8,1013.8,19.3,25.6,Yes,No,-25.344,131.035,Northern Territory,15,11,2014,0.2
Canberra,1.5,15.6,2.2,WNW,56.0,SW,NW,11.0,28.0,55.0,47.0,1015.0,1013.6,8.3,14.1,Yes,No,-35.2931,149.1269,Australian Capital Territory,14,10,2013,0.0
Nuriootpa,16.2,34.0,0.0,SE,35.0,ESE,ENE,15.0,9.0,59.0,23.0,1020.2,1017.1,20.1,32.4,No,No,-34.4667,138.9833,South Australia,12,2,2015,0.0
Sydney,7.0,17.4,4.2,W,35.0,W,NW,20.0,9.0,60.0,43.0,1018.9,1014.0,11.2,17.1,Yes,No,-33.865,151.2094,New South Wales,9,8,2013,0.0
SydneyAirport,21.5,32.2,0.0,S,63.0,N,NE,17.0,35.0,60.0,57.0,1010.4,1007.2,26.7,27.7,No,No,-33.865,151.2094,New South Wales,22,1,2013,0.2
PearceRAAF,17.5,35.0,0.0,E,46.0,ESE,SSW,7.0,15.0,52.0,24.0,1016.8,1013.5,25.8,33.7,No,No,-31.6722,116.0318,Western Australia,9,3,2015,0.0
Hobart,4.1,9.8,0.0,NNW,33.0,NW,NE,20.0,6.0,83.0,78.0,1020.3,1014.1,5.2,8.1,No,No,-42.8806,147.325,Tasmania,15,7,2014,0.0
Walpole,15.2,18.1,2.4,SE,37.0,SSE,SE,13.0,20.0,92.0,71.0,1013.8,1013.9,15.8,16.8,Yes,No,-34.97,116.728,Western Australia,1,1,2012,0.6
Moree,4.8,14.5,16.2,WSW,52.0,SW,SW,30.0,37.0,71.0,46.0,1017.4,1015.6,8.3,14.0,Yes,No,-29.465,149.8344,New South Wales,10,9,2011,0.0
Nuriootpa,2.0,19.2,0.0,NNE,50.0,NE,N,19.0,20.0,76.0,48.0,1022.7,1017.1,11.4,18.0,No,No,-34.4667,138.9833,South Australia,18,9,2009,0.0
Cobar,20.3,35.7,0.0,WSW,43.0,E,WSW,9.0,15.0,25.0,13.0,1010.8,1009.7,28.2,33.7,No,No,-31.4997,145.8319,New South Wales,19,2,2016,0.0
Cairns,24.8,32.2,0.0,E,31.0,SSE,ENE,17.0,15.0,71.0,69.0,1012.1,1009.1,29.3,30.5,No,Yes,-16.9303,145.7703,Queensland,23,2,2012,2.8
Richmond,11.1,18.6,2.8,SE,22.0,SSW,SSW,6.0,9.0,86.0,59.0,1032.1,1028.6,13.6,17.3,Yes,No,-33.5983,150.7511,New South Wales,22,8,2014,0.2
Richmond,16.6,34.5,0.0,W,43.0,ENE,E,7.0,17.0,66.0,29.0,1009.2,1002.3,22.1,33.9,No,No,-33.5983,150.7511,New South Wales,9,12,2013,0.0
MelbourneAirport,10.6,33.3,0.0,S,43.0,NE,NE,9.0,11.0,54.0,23.0,1014.4,1011.6,21.2,31.3,No,No,-37.8136,144.9631,Victoria,21,12,2014,0.0
AliceSprings,10.9,34.2,0.0,NE,43.0,ESE,N,9.0,20.0,29.0,12.0,1015.1,1010.3,20.6,33.3,No,No,-23.7,133.8667,Northern Territory,11,9,2013,0.0
Townsville,24.0,30.8,0.0,NE,33.0,SE,ENE,19.0,26.0,73.0,69.0,1016.4,1012.8,27.3,28.7,No,No,-19.2564,146.8183,Queensland,6,5,2016,0.0
MountGinini,-2.7,12.2,0.2,S,33.0,SSW,W,19.0,7.0,31.0,60.0,1017.4,1015.0,5.3,11.7,No,No,-35.5333,148.7833,New South Wales,4,10,2013,0.2
Williamtown,6.8,22.0,0.0,NW,28.0,WNW,SE,20.0,15.0,55.0,40.0,1022.2,1018.3,15.4,20.4,No,No,-32.80899676,151.8389966,New South Wales,27,8,2013,0.0
Bendigo,0.8,13.0,0.4,WSW,24.0,WSW,WSW,9.0,11.0,97.0,66.0,1022.5,1021.2,8.7,12.5,No,No,-36.75,144.2667,Victoria,27,5,2011,0.0
NorahHead,11.2,22.2,0.0,W,20.0,NW,ESE,4.0,4.0,57.0,49.0,1023.1,1020.6,15.1,18.8,No,No,-33.281,151.5791,New South Wales,19,5,2012,0.0
MelbourneAirport,8.1,20.3,0.0,N,54.0,NE,N,15.0,31.0,77.0,38.0,1027.4,1024.0,10.6,19.7,No,No,-37.8136,144.9631,Victoria,2,9,2011,0.0
Mildura,4.2,16.1,0.8,SSW,37.0,SSW,SW,20.0,15.0,62.0,45.0,1020.7,1018.0,10.4,15.4,No,No,-34.1889,142.1583,Victoria,22,9,2016,0.0
Wollongong,12.5,17.8,0.0,SW,33.0,E,E,9.0,7.0,55.0,62.0,1018.5,1017.2,16.0,16.7,No,No,-34.4331,150.8831,New South Wales,11,9,2016,0.0
Watsonia,7.9,15.2,31.4,WSW,56.0,SW,SW,28.0,24.0,100.0,64.0,1014.5,1017.5,13.4,14.4,Yes,Yes,-37.711,145.083,Victoria,10,4,2017,1.2
Richmond,4.1,17.2,0.0,S,33.0,N,SSE,2.0,11.0,83.0,55.0,1025.0,1023.3,10.1,15.9,No,No,-33.5983,150.7511,New South Wales,7,6,2010,0.2
MountGambier,11.4,14.2,1.6,NW,72.0,NW,NW,24.0,37.0,74.0,51.0,999.8,997.6,12.9,13.6,Yes,Yes,-37.8294,140.7828,South Australia,12,10,2009,9.8
Launceston,11.2,16.3,0.0,NNW,46.0,NNW,NNW,17.0,22.0,83.0,78.0,1006.8,1006.7,13.2,15.3,No,No,-41.4419,147.145,Tasmania,25,9,2010,0.0
Adelaide,25.3,35.9,0.2,SW,44.0,SW,SW,9.0,15.0,61.0,24.0,1013.4,1011.3,26.8,35.0,No,No,-34.9289,138.6011,South Australia,3,1,2012,0.0
Sydney,20.8,26.0,0.0,NNE,59.0,NNE,NE,9.0,22.0,63.0,70.0,1010.5,1005.7,24.2,24.9,No,No,-33.865,151.2094,New South Wales,5,1,2014,0.0
Albury,20.0,34.0,6.6,S,28.0,ESE,E,7.0,7.0,80.0,45.0,1019.0,1016.9,23.1,32.5,Yes,No,-36.0806,146.9158,New South Wales,12,3,2016,0.2
Uluru,24.8,39.8,0.4,WNW,65.0,E,ENE,15.0,20.0,38.0,24.0,1007.0,1003.6,31.5,36.6,No,Yes,-25.344,131.035,Northern Territory,10,2,2017,6.2
MountGambier,4.4,13.2,0.0,S,28.0,SSE,SE,9.0,19.0,77.0,60.0,1026.8,1025.4,9.8,12.5,No,No,-37.8294,140.7828,South Australia,19,8,2014,0.0
Sydney,16.4,22.2,0.0,ENE,33.0,WNW,E,6.0,20.0,66.0,51.0,1019.7,1016.0,18.8,21.6,No,No,-33.865,151.2094,New South Wales,12,11,2014,0.0
Dartmoor,13.3,23.5,2.0,SE,44.0,ESE,SE,22.0,28.0,90.0,51.0,1015.8,1015.5,16.1,23.1,Yes,No,-37.9333296,141.2833322,Victoria,27,11,2012,0.0
Uluru,15.6,27.9,0.0,E,48.0,E,E,30.0,17.0,22.0,8.0,1023.5,1018.7,18.2,26.1,No,No,-25.344,131.035,Northern Territory,14,10,2014,0.0
MountGambier,9.1,17.9,0.0,S,33.0,SSW,S,11.0,22.0,62.0,50.0,1026.2,1024.1,13.2,17.0,No,No,-37.8294,140.7828,South Australia,5,11,2009,0.0
CoffsHarbour,15.1,25.0,0.0,NNE,41.0,SSE,NNE,7.0,28.0,75.0,63.0,1016.8,1013.7,21.0,24.4,No,No,-30.3022,153.1189,New South Wales,27,10,2010,0.0
NorfolkIsland,21.8,25.9,3.6,ENE,46.0,E,ESE,22.0,24.0,78.0,82.0,1016.6,1015.2,24.4,24.0,Yes,No,-29.0257,167.9416,Tasmania,22,1,2016,0.2
Ballarat,19.3,28.7,0.0,N,41.0,NNE,N,22.0,26.0,49.0,33.0,1023.5,1020.3,22.4,27.6,No,No,-37.55,143.85,Victoria,18,3,2010,0.0
AliceSprings,2.5,15.9,0.0,ESE,37.0,SSW,SE,7.0,19.0,78.0,39.0,1027.6,1024.6,7.6,15.3,No,No,-23.7,133.8667,Northern Territory,20,7,2010,0.0
Brisbane,17.5,26.6,0.0,ENE,31.0,SE,E,11.0,20.0,55.0,58.0,1016.6,1013.9,24.0,23.3,No,No,-27.4678,153.0281,Queensland,4,10,2009,0.4
Hobart,10.4,21.4,0.0,SSE,35.0,NNW,SE,13.0,17.0,70.0,49.0,1025.1,1024.9,15.0,19.8,No,No,-42.8806,147.325,Tasmania,18,3,2012,0.0
Ballarat,10.1,23.5,0.0,S,35.0,SSW,SSW,11.0,11.0,77.0,40.0,1018.2,1017.0,11.9,21.4,No,No,-37.55,143.85,Victoria,15,1,2017,0.0
AliceSprings,-0.9,15.9,0.0,E,33.0,ESE,ESE,7.0,13.0,65.0,25.0,1025.6,1021.4,6.7,15.6,No,No,-23.7,133.8667,Northern Territory,6,8,2010,0.0
AliceSprings,20.2,37.8,0.0,SSE,41.0,ESE,S,13.0,24.0,38.0,17.0,1008.0,1004.2,28.8,37.6,No,No,-23.7,133.8667,Northern Territory,6,3,2013,0.0
Adelaide,12.1,28.1,0.0,SW,31.0,NNE,WSW,2.0,13.0,58.0,39.0,1017.6,1013.4,18.4,26.8,No,No,-34.9289,138.6011,South Australia,31,12,2014,0.0
BadgerysCreek,13.9,20.5,6.4,SSW,50.0,SSW,SSW,24.0,20.0,67.0,92.0,1014.4,1011.6,16.9,16.1,Yes,Yes,-37.7,145.5167,Victoria,18,11,2013,18.0
Townsville,17.8,30.1,0.0,ENE,52.0,SE,ENE,26.0,35.0,45.0,40.0,1018.3,1015.2,28.3,28.2,No,No,-19.2564,146.8183,Queensland,23,10,2009,0.0
Cobar,12.0,18.4,0.2,W,22.0,WSW,W,6.0,4.0,75.0,59.0,1022.4,1020.3,14.7,17.1,No,No,-31.4997,145.8319,New South Wales,11,7,2010,0.0
Dartmoor,12.3,18.0,4.8,SSW,35.0,W,WSW,6.0,15.0,100.0,58.0,1015.4,1016.3,12.8,17.6,Yes,No,-37.9333296,141.2833322,Victoria,31,3,2013,0.2
Tuggeranong,1.2,25.0,0.0,N,31.0,W,W,2.0,17.0,62.0,22.0,1015.9,1010.1,10.6,24.5,No,No,-35.4244,149.088,New South Wales,12,10,2013,0.0
Brisbane,13.4,25.8,0.0,NNW,15.0,SW,NNE,4.0,6.0,81.0,53.0,1023.1,1018.2,18.9,24.3,No,No,-27.4678,153.0281,Queensland,11,5,2012,0.0
Townsville,21.5,29.9,1.2,E,52.0,ESE,ENE,15.0,30.0,64.0,60.0,1013.9,1010.9,25.7,27.9,Yes,No,-19.2564,146.8183,Queensland,10,11,2009,0.0
Watsonia,11.7,28.2,0.0,NNW,24.0,SW,NW,6.0,7.0,71.0,31.0,1015.6,1010.6,17.0,26.1,No,No,-37.711,145.083,Victoria,14,12,2010,0.0
Townsville,19.6,31.8,0.0,SSW,39.0,SSE,SSW,15.0,11.0,27.0,25.0,1015.3,1012.2,27.8,31.3,No,No,-19.2564,146.8183,Queensland,27,4,2009,0.0
Launceston,5.1,15.9,2.0,SSE,43.0,SSE,SSE,28.0,17.0,46.0,41.0,1017.4,1015.0,9.5,14.8,Yes,No,-41.4419,147.145,Tasmania,23,10,2016,0.0
Melbourne,8.4,17.5,0.0,S,35.0,SW,S,6.0,19.0,52.0,40.0,1022.7,1020.1,11.7,16.3,No,No,-37.8136,144.9631,Victoria,15,10,2014,0.0
Richmond,6.1,17.3,0.0,SW,41.0,SSW,S,22.0,22.0,60.0,41.0,1022.4,1021.6,12.6,16.2,No,No,-33.5983,150.7511,New South Wales,19,6,2013,0.0
Adelaide,12.3,25.8,0.0,WSW,30.0,ENE,SW,6.0,17.0,56.0,42.0,1018.4,1015.5,18.5,23.0,No,No,-34.9289,138.6011,South Australia,6,12,2009,0.0
SalmonGums,11.7,21.7,8.8,NNW,44.0,NNE,N,17.0,17.0,93.0,70.0,1017.4,1015.0,15.8,19.4,Yes,Yes,-32.9747,121.638,Western Australia,22,5,2010,7.4
SydneyAirport,8.9,19.8,0.0,WSW,52.0,N,N,2.0,13.0,75.0,50.0,1014.7,1010.5,11.9,18.7,No,No,-33.865,151.2094,New South Wales,24,6,2009,0.2
Mildura,6.4,19.8,0.0,SSW,31.0,SSE,S,11.0,13.0,85.0,41.0,1020.6,1018.5,11.1,19.3,No,No,-34.1889,142.1583,Victoria,3,5,2011,0.0
Katherine,21.2,35.9,0.0,E,44.0,E,E,17.0,24.0,70.0,45.0,1013.0,1009.5,28.1,34.5,No,No,-14.4667,132.2667,Northern Territory,3,5,2013,0.0
Darwin,23.4,34.9,0.0,WNW,31.0,NW,NW,11.0,19.0,26.0,29.0,1012.9,1009.1,31.4,33.9,No,No,-12.4381,130.8411,Northern Territory,24,9,2013,0.0
BadgerysCreek,12.8,21.2,0.6,NE,43.0,ESE,NE,9.0,26.0,81.0,60.0,1033.8,1031.9,18.1,20.1,No,No,-37.7,145.5167,Victoria,11,10,2010,0.4
SydneyAirport,13.3,26.0,0.0,WNW,30.0,NW,WNW,15.0,6.0,88.0,36.0,1024.9,1021.9,15.6,24.8,No,No,-33.865,151.2094,New South Wales,2,5,2010,0.0
Walpole,13.4,19.0,0.0,NW,41.0,NNW,NW,19.0,22.0,85.0,73.0,1030.4,1027.5,15.7,18.3,No,No,-34.97,116.728,Western Australia,30,6,2013,0.0
SalmonGums,10.2,17.5,0.2,E,31.0,NE,ENE,11.0,13.0,65.0,46.0,1017.4,1015.0,13.8,15.3,No,No,-32.9747,121.638,Western Australia,26,5,2011,0.0
Cairns,23.8,30.8,0.0,SE,46.0,SSE,SE,22.0,33.0,64.0,57.0,1013.7,1011.5,27.9,29.4,No,Yes,-16.9303,145.7703,Queensland,30,9,2010,2.2
Townsville,25.2,31.5,0.4,S,39.0,W,NNW,11.0,13.0,68.0,76.0,1005.8,1003.9,28.8,28.0,No,No,-19.2564,146.8183,Queensland,28,12,2011,0.4
Townsville,14.2,25.5,0.0,ESE,46.0,SSE,NE,24.0,17.0,46.0,50.0,1020.9,1017.8,20.8,22.2,No,No,-19.2564,146.8183,Queensland,23,8,2011,0.0
BadgerysCreek,4.4,15.7,0.0,SW,37.0,SW,SW,17.0,17.0,61.0,37.0,1025.0,1022.3,10.0,15.2,No,No,-37.7,145.5167,Victoria,30,7,2012,0.0
Cairns,22.3,28.8,0.0,SE,28.0,S,ENE,11.0,17.0,76.0,57.0,1012.5,1008.9,24.6,28.0,No,No,-16.9303,145.7703,Queensland,13,6,2013,0.0
SalmonGums,4.3,23.0,0.0,SSW,46.0,NW,WNW,19.0,17.0,62.0,41.0,1017.4,1015.0,15.9,21.3,No,Yes,-32.9747,121.638,Western Australia,15,9,2009,7.4
Portland,6.5,19.8,0.0,S,31.0,SSE,S,9.0,15.0,67.0,60.0,1018.3,1018.0,16.1,18.3,No,No,-38.3333,141.6,Victoria,28,12,2011,0.0
Launceston,10.6,17.6,5.5,NNW,56.0,NW,NNW,6.0,22.0,98.0,79.0,1012.2,1007.6,12.6,14.9,Yes,Yes,-41.4419,147.145,Tasmania,23,5,2012,1.2
Canberra,17.8,21.1,7.8,NW,74.0,SE,N,6.0,24.0,92.0,94.0,1000.8,996.6,18.9,20.0,Yes,Yes,-35.2931,149.1269,Australian Capital Territory,15,2,2014,19.6
